Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,508466.93578997144,11745.660950794385
0,2,455692.3757206975,11745.660950794385
0,3,200027.65602646355,11745.660950794385
0,4,64282.65050560975,11745.660950794385
1,1,621078.5328711879,11745.660950794385
1,2,554760.8548223429,11745.660950794385
1,3,159184.06602041473,11745.660950794385
1,4,65417.71448887289,11745.660950794385
2,1,711408.5034672337,11745.660950794385
2,2,556252.7638213788,11745.660950794385
2,3,113325.93240212162,11745.660950794385
2,4,65026.23894414314,11745.660950794385
3,1,813212.7943564713,11745.660950794385
3,2,529706.2048631855,11745.660950794385
3,3,116711.3354782214,11745.660950794385
3,4,65999.5503946388,11745.660950794385
