Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,32900.85338398647,946.3863316830564
0,2,20913.035465306893,946.3863316830564
0,3,9530.10836744191,946.3863316830564
0,4,3318.7253141989772,946.3863316830564
1,1,34385.93401780487,946.3863316830564
1,2,28214.31188938693,946.3863316830564
1,3,9164.79225610577,946.3863316830564
1,4,3744.792889354,946.3863316830564
2,1,36567.73908053618,946.3863316830564
2,2,26647.691084861446,946.3863316830564
2,3,6214.00687061717,946.3863316830564
2,4,3366.963187463804,946.3863316830564
3,1,46156.378758634164,946.3863316830564
3,2,27993.507565739557,946.3863316830564
3,3,6567.818551927808,946.3863316830564
3,4,3840.259475355102,946.3863316830564
