Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,90117.39231851445,2767.8000697745497
0,2,56673.23612942949,2767.8000697745497
0,3,24290.771809114496,2767.8000697745497
0,4,8127.220211812358,2767.8000697745497
1,1,89981.31777587971,2767.8000697745497
1,2,74404.31816780544,2767.8000697745497
1,3,20832.339865572496,2767.8000697745497
1,4,8628.574705398185,2767.8000697745497
2,1,98391.37987605834,2767.8000697745497
2,2,70821.19434298978,2767.8000697745497
2,3,14164.169882771523,2767.8000697745497
2,4,7935.7845434668925,2767.8000697745497
3,1,121804.99690210525,2767.8000697745497
3,2,71622.63718154957,2767.8000697745497
3,3,15560.787938863037,2767.8000697745497
3,4,8349.18210835345,2767.8000697745497
