Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,136858.99582582817,3469.5442284209603
0,2,111690.79453075395,3469.5442284209603
0,3,45760.93816180087,3469.5442284209603
0,4,14882.245528057721,3469.5442284209603
1,1,171374.34689008884,3469.5442284209603
1,2,144412.94561453952,3469.5442284209603
1,3,38593.78421898633,3469.5442284209603
1,4,16041.33726726953,3469.5442284209603
2,1,189176.58173289974,3469.5442284209603
2,2,137881.195711467,3469.5442284209603
2,3,26966.39935539579,3469.5442284209603
2,4,14910.938208657872,3469.5442284209603
3,1,233974.74162501437,3469.5442284209603
3,2,136737.19076882882,3469.5442284209603
3,3,29125.199620937296,3469.5442284209603
3,4,16500.5127139061,3469.5442284209603
