Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,24152.664030138025,707.4173066711826
0,2,13231.596147241004,707.4173066711826
0,3,5706.893046784196,707.4173066711826
0,4,2135.6805486770572,707.4173066711826
1,1,22495.872999560634,707.4173066711826
1,2,17863.26098803877,707.4173066711826
1,3,5094.831324877546,707.4173066711826
1,4,2381.9449369403333,707.4173066711826
2,1,23663.16619992856,707.4173066711826
2,2,16637.432636922113,707.4173066711826
2,3,3730.905482188632,707.4173066711826
2,4,2052.140090812361,707.4173066711826
3,1,30264.188410253268,707.4173066711826
3,2,17059.68134572122,707.4173066711826
3,3,4001.4174409886,707.4173066711826
3,4,2452.4144388125937,707.4173066711826
