Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,75164.69689480071,2817.6303285708045
0,2,56564.857672124104,2817.6303285708045
0,3,23409.178288071023,2817.6303285708045
0,4,6966.351603029804,2817.6303285708045
1,1,89853.15338256516,2817.6303285708045
1,2,73576.4965522751,2817.6303285708045
1,3,20700.92921303994,2817.6303285708045
1,4,8393.17545199898,2817.6303285708045
2,1,97616.80073098758,2817.6303285708045
2,2,71584.05608232599,2817.6303285708045
2,3,14229.891600133817,2817.6303285708045
2,4,7055.8276786650495,2817.6303285708045
3,1,120092.8713731482,2817.6303285708045
3,2,72057.00105354085,2817.6303285708045
3,3,15687.07340333638,2817.6303285708045
3,4,7279.517867753164,2817.6303285708045
