Run,Linear Slope,Linear Slope Error,Linear Y-Int,Linear Y-Int Error,Taylor Constant,Taylor Contstant Error,Taylor Fitted Point,Taylor Fitted Point Error
286,-265547.49594755215,20190.220305518855,74732491.47518744,2893327.9745551087,876880050727.3187,31655687456.31254,187.61864348110637,7.006812177302346
287,-229411.12049302424,21671.291047677,70088231.4688459,3105570.530151395,969175881795.783,54437038084.25074,203.67577378611907,10.22178061666621
288,-228122.21116991318,23610.949174397116,69928024.61691432,3383530.1314653736,973452714139.8528,60379237244.93528,204.35836840466388,11.270219994484815
291,-228014.53207368855,22115.898305658993,69952605.79962708,3169284.2166427774,975400261479.8171,56804691210.965836,204.52674839589466,10.57789736148085
297,-358383.2607187182,15763.402195484645,86487659.79090852,2258949.7116869553,746213724011.9366,7370371795.738667,160.88485771343176,2.8782260149674057
299,-548114.6809545922,19250.881292475104,107262279.38134256,2758717.458912965,608547417205.3005,4381829133.020813,130.4620888379053,1.2313519704255733
301,-550975.1246917046,45019.99772151961,103776050.80444653,6451520.37727379,545410713667.7345,12855881467.298622,125.56652832452664,2.465956503641406
303,-492774.9487404411,70891.06105048119,89623799.4927672,10158932.79233743,439206784523.6568,23288173213.670097,121.25048091827581,3.7234500749399926
