Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,79187.5504170163,3262.274435661267
0,2,56988.238265376705,3262.274435661267
0,3,24770.246796785526,3262.274435661267
0,4,8400.339739725765,3262.274435661267
1,1,90876.12646353121,3262.274435661267
1,2,74591.83641128804,3262.274435661267
1,3,20911.02598192751,3262.274435661267
1,4,8788.31826513483,3262.274435661267
2,1,98939.63587826885,3262.274435661267
2,2,71016.19453971199,3262.274435661267
2,3,14208.274858686298,3262.274435661267
2,4,8147.402979334476,3262.274435661267
3,1,120498.0619549593,3262.274435661267
3,2,71272.22765032864,3262.274435661267
3,3,15498.810263939466,3262.274435661267
3,4,8597.045611590294,3262.274435661267
