Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,89644.96049660575,3020.0091428163896
0,2,57075.87044778799,3020.0091428163896
0,3,24413.75699435544,3020.0091428163896
0,4,8175.512734828507,3020.0091428163896
1,1,90808.63196022972,3020.0091428163896
1,2,74535.51271303164,3020.0091428163896
1,3,20926.609789616465,3020.0091428163896
1,4,8694.278176436817,3020.0091428163896
2,1,98529.4339183056,3020.0091428163896
2,2,70534.73287736982,3020.0091428163896
2,3,13938.463822535252,3020.0091428163896
2,4,7936.098756965088,3020.0091428163896
3,1,121388.44146228924,3020.0091428163896
3,2,71444.08411839996,3020.0091428163896
3,3,15388.728934843875,3020.0091428163896
3,4,8494.450122079157,3020.0091428163896
