Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,72048.16209730334,1576.4109133878628
0,2,55785.7709391164,1576.4109133878628
0,3,22952.571441801705,1576.4109133878628
0,4,7236.742376421254,1576.4109133878628
1,1,87798.40433149015,1576.4109133878628
1,2,73049.32504190446,1576.4109133878628
1,3,20296.829124717864,1576.4109133878628
1,4,7582.319995947055,1576.4109133878628
2,1,95006.80645124734,1576.4109133878628
2,2,68825.75924008494,1576.4109133878628
2,3,13576.284280391632,1576.4109133878628
2,4,6946.110152468594,1576.4109133878628
3,1,118497.55358337334,1576.4109133878628
3,2,69621.16613757926,1576.4109133878628
3,3,14420.129881878063,1576.4109133878628
3,4,7274.3365944449815,1576.4109133878628
