Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,61167.83909452471,2503.0355029480043
0,2,44239.77606459461,2503.0355029480043
0,3,19115.959908635523,2503.0355029480043
0,4,6530.102401671741,2503.0355029480043
1,1,70878.68622857654,2503.0355029480043
1,2,58168.40975862792,2503.0355029480043
1,3,16346.701582959544,2503.0355029480043
1,4,6795.958366426649,2503.0355029480043
2,1,76807.29459911674,2503.0355029480043
2,2,55128.10455923742,2503.0355029480043
2,3,11159.98606352905,2503.0355029480043
2,4,6270.577310196983,2503.0355029480043
3,1,93511.15107500314,2503.0355029480043
3,2,55155.83012003345,2503.0355029480043
3,3,12243.257515629546,2503.0355029480043
3,4,6650.185428937377,2503.0355029480043
