Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,468100.859308543,8629.420077616383
0,2,421452.3059927287,8629.420077616383
0,3,184836.76690690045,8629.420077616383
0,4,58531.44101228946,8629.420077616383
1,1,573106.8543368736,8629.420077616383
1,2,517852.7266453859,8629.420077616383
1,3,148797.71848983658,8629.420077616383
1,4,60328.2464733029,8629.420077616383
2,1,648793.1659237155,8629.420077616383
2,2,511172.1864879794,8629.420077616383
2,3,104250.69202900885,8629.420077616383
2,4,58756.55371946768,8629.420077616383
3,1,750981.6902023947,8629.420077616383
3,2,492420.1555036373,8629.420077616383
3,3,106695.40890514439,8629.420077616383
3,4,60993.789342547345,8629.420077616383
