Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,471768.0256237581,9214.605096304564
0,2,423230.0060815582,9214.605096304564
0,3,186658.37112870824,9214.605096304564
0,4,59489.977839172905,9214.605096304564
1,1,577182.4901950314,9214.605096304564
1,2,521233.9322452282,9214.605096304564
1,3,150505.36939712428,9214.605096304564
1,4,61710.651410909355,9214.605096304564
2,1,651697.5567940613,9214.605096304564
2,2,514240.6586860914,9214.605096304564
2,3,106088.81764267338,9214.605096304564
2,4,59780.71263137527,9214.605096304564
3,1,756726.9814001115,9214.605096304564
3,2,494467.8494442793,9214.605096304564
3,3,108390.29037018899,9214.605096304564
3,4,62325.767564582835,9214.605096304564
