Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,130745.0143185931,2946.922590874395
0,2,108036.79112749334,2946.922590874395
0,3,44255.85208674888,2946.922590874395
0,4,14353.85633081672,2946.922590874395
1,1,164635.7942084061,2946.922590874395
1,2,138979.80111810012,2946.922590874395
1,3,36991.36339460477,2946.922590874395
1,4,15371.652609528475,2946.922590874395
2,1,180811.2736985572,2946.922590874395
2,2,132460.7150383061,2946.922590874395
2,3,26131.733560525336,2946.922590874395
2,4,14248.237393887634,2946.922590874395
3,1,223313.33547770628,2946.922590874395
3,2,131606.5067107575,2946.922590874395
3,3,27886.586127548257,2946.922590874395
3,4,15564.073316462502,2946.922590874395
