Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,41306.83684929633,1039.4186549530739
0,2,27954.396430163517,1039.4186549530739
0,3,12751.115546863422,1039.4186549530739
0,4,4153.1792916620125,1039.4186549530739
1,1,45480.78131640362,1039.4186549530739
1,2,37471.335901425555,1039.4186549530739
1,3,11570.528801235254,1039.4186549530739
1,4,4431.490323671585,1039.4186549530739
2,1,48379.68633012818,1039.4186549530739
2,2,35454.80664151786,1039.4186549530739
2,3,7691.767071186826,1039.4186549530739
2,4,4003.0643775055546,1039.4186549530739
3,1,61146.66416379008,1039.4186549530739
3,2,37458.06926155774,1039.4186549530739
3,3,8212.482685998517,1039.4186549530739
3,4,4456.581577334624,1039.4186549530739
