Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,244337.20946112406,4596.4968109218125
0,2,214047.15994904772,4596.4968109218125
0,3,95821.3760469341,4596.4968109218125
0,4,27338.619198876077,4596.4968109218125
1,1,305412.2085949097,4596.4968109218125
1,2,269859.2335596345,4596.4968109218125
1,3,78347.0447658976,4596.4968109218125
1,4,28749.68882380338,4596.4968109218125
2,1,341850.02431463165,4596.4968109218125
2,2,267764.0186032029,4596.4968109218125
2,3,51618.94019455403,4596.4968109218125
2,4,26789.80805544949,4596.4968109218125
3,1,410627.14494897844,4596.4968109218125
3,2,265379.2107484289,4596.4968109218125
3,3,51881.65709079881,4596.4968109218125
3,4,28323.807559793986,4596.4968109218125
