Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,82406.02020099708,3059.1256784626
0,2,56872.76239534257,3059.1256784626
0,3,24493.233679366684,3059.1256784626
0,4,8283.762332886907,3059.1256784626
1,1,91082.08642706339,3059.1256784626
1,2,74612.72379130273,3059.1256784626
1,3,20766.4040653079,3059.1256784626
1,4,8799.184704387893,3059.1256784626
2,1,98855.30293581993,3059.1256784626
2,2,70973.27043189622,3059.1256784626
2,3,14213.414450969718,3059.1256784626
2,4,7903.506380270194,3059.1256784626
3,1,121397.51606892279,3059.1256784626
3,2,71355.13277658797,3059.1256784626
3,3,15655.782420905864,3059.1256784626
3,4,8227.53861026102,3059.1256784626
