Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,24068.58907422224,566.1532437795149
0,2,13105.540402404165,566.1532437795149
0,3,5490.295742725866,566.1532437795149
0,4,1999.578291932608,566.1532437795149
1,1,22209.806984814913,566.1532437795149
1,2,17513.92848361998,566.1532437795149
1,3,5101.329219745177,566.1532437795149
1,4,2277.9948427908694,566.1532437795149
2,1,23656.03049152733,566.1532437795149
2,2,16645.10551529803,566.1532437795149
2,3,3660.3988033532637,566.1532437795149
2,4,2073.984018723626,566.1532437795149
3,1,29827.773805229474,566.1532437795149
3,2,16983.409602353942,566.1532437795149
3,3,4183.809820474634,566.1532437795149
3,4,2271.340672102242,566.1532437795149
