Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,15690.866103187927,462.96345057877994
0,2,6307.715053529653,462.96345057877994
0,3,2881.419737824598,462.96345057877994
0,4,1085.974199912782,462.96345057877994
1,1,11205.830427106615,462.96345057877994
1,2,9030.502645732722,462.96345057877994
1,3,2697.1440498657566,462.96345057877994
1,4,1152.3691079799376,462.96345057877994
2,1,11687.09411701854,462.96345057877994
2,2,8336.536705426019,462.96345057877994
2,3,1877.9422051210056,462.96345057877994
2,4,1026.5368420921852,462.96345057877994
3,1,14697.129140829513,462.96345057877994
3,2,8389.414087299861,462.96345057877994
3,3,2074.1451220739464,462.96345057877994
3,4,1171.6514615203985,462.96345057877994
