Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,468221.35184380267,8662.632724754698
0,2,421419.47796269704,8662.632724754698
0,3,184502.12912528578,8662.632724754698
0,4,58538.957420871164,8662.632724754698
1,1,574176.5830469816,8662.632724754698
1,2,516725.7540943511,8662.632724754698
1,3,148243.85153867715,8662.632724754698
1,4,60387.753103476876,8662.632724754698
2,1,647954.9350022215,8662.632724754698
2,2,512628.532642648,8662.632724754698
2,3,103952.25665089341,8662.632724754698
2,4,58442.47502432562,8662.632724754698
3,1,754114.7088860769,8662.632724754698
3,2,491885.97517411446,8662.632724754698
3,3,107022.51947376571,8662.632724754698
3,4,61076.058520432794,8662.632724754698
