Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,10248.514091344152,318.932298154416
0,2,1786.1500908032174,318.932298154416
0,3,975.008535805426,318.932298154416
0,4,630.8878761093933,318.932298154416
1,1,3177.1417851796914,318.932298154416
1,2,2592.341497422445,318.932298154416
1,3,1081.5220733303886,318.932298154416
1,4,755.4950594318656,318.932298154416
2,1,3222.7172892168146,318.932298154416
2,2,2268.021431240668,318.932298154416
2,3,809.093217737696,318.932298154416
2,4,803.6309850441082,318.932298154416
3,1,4146.5173935198545,318.932298154416
3,2,2573.2236829948874,318.932298154416
3,3,1075.035672006753,318.932298154416
3,4,868.6656930521382,318.932298154416
