Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,80702.2172186228,3315.6760425644025
0,2,57264.65163172172,3315.6760425644025
0,3,24566.675951364312,3315.6760425644025
0,4,8164.898208679878,3315.6760425644025
1,1,91180.7340777684,3315.6760425644025
1,2,74649.49067299324,3315.6760425644025
1,3,21129.666591970905,3315.6760425644025
1,4,8883.668254313241,3315.6760425644025
2,1,99148.96966498398,3315.6760425644025
2,2,71234.64048221553,3315.6760425644025
2,3,14198.127563741727,3315.6760425644025
2,4,8066.908638372823,3315.6760425644025
3,1,121147.98792568129,3315.6760425644025
3,2,71375.94115481689,3315.6760425644025
3,3,15807.688993190664,3315.6760425644025
3,4,8507.537950667656,3315.6760425644025
