Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,32258.76779228321,899.8673120384714
0,2,20563.32640436521,899.8673120384714
0,3,9636.242726086013,899.8673120384714
0,4,3364.5582750416556,899.8673120384714
1,1,33550.74006871145,899.8673120384714
1,2,27980.476643398702,899.8673120384714
1,3,8958.579509290468,899.8673120384714
1,4,3750.528393233219,899.8673120384714
2,1,36112.435244945256,899.8673120384714
2,2,26558.779188017954,899.8673120384714
2,3,6131.400245898036,899.8673120384714
2,4,3341.74323630146,899.8673120384714
3,1,45872.935082847696,899.8673120384714
3,2,27966.900752578094,899.8673120384714
3,3,6943.502492625473,899.8673120384714
3,4,3566.4996509982575,899.8673120384714
