Chamber,Eta,Rate,Error
0,1,10399692.425990004,79983.43706278683
0,2,6750019.223375625,64438.03969837654
0,3,2826605.1518646674,41698.687778749285
0,4,883352.5567089581,23310.782402456185
1,1,10263744.713571703,79458.93428847495
1,2,8402921.953094965,71896.04162675639
1,3,2487658.5928489044,39118.77116945088
1,4,917185.6978085352,23752.99909426568
2,1,11309496.347558632,83408.71828119026
2,2,8250365.244136871,71240.40878703725
2,3,1719953.8638985006,32527.314888494668
2,4,859976.9319492503,23000.28493144473
3,1,13345636.29373318,90606.52151819694
3,2,8158708.189158017,70843.58254814337
3,3,1810380.6228373703,33371.42573476378
3,4,883352.5567089581,23310.782402456185
