Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,260312.5611165437,6498.0236347835535
0,2,225988.0986053979,6498.0236347835535
0,3,102667.02225382997,6498.0236347835535
0,4,29555.542984292206,6498.0236347835535
1,1,325695.9460369541,6498.0236347835535
1,2,286326.3697513853,6498.0236347835535
1,3,83574.79318026923,6498.0236347835535
1,4,30456.708609788886,6498.0236347835535
2,1,368986.20483436907,6498.0236347835535
2,2,286841.5185726947,6498.0236347835535
2,3,55059.37497474523,6498.0236347835535
2,4,29162.112726518455,6498.0236347835535
3,1,441216.00034481176,6498.0236347835535
3,2,281448.31729150336,6498.0236347835535
3,3,55587.10942656183,6498.0236347835535
3,4,30770.832154777396,6498.0236347835535
