Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,10165.309093802427,282.8177697661567
0,2,1674.6380183948518,282.8177697661567
0,3,827.9982039002375,282.8177697661567
0,4,444.8742694970554,282.8177697661567
1,1,2872.5556825272547,282.8177697661567
1,2,2204.9530031161344,282.8177697661567
1,3,840.0375774091058,282.8177697661567
1,4,532.6451860455796,282.8177697661567
2,1,3061.496173239012,282.8177697661567
2,2,2055.2375680300456,282.8177697661567
2,3,613.4254986212126,282.8177697661567
2,4,529.3440675028254,282.8177697661567
3,1,3831.433527475513,282.8177697661567
3,2,2185.7288421906833,282.8177697661567
3,3,789.7440654930268,282.8177697661567
3,4,587.7932840539445,282.8177697661567
