Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,15830.426466213428,449.9131893957689
0,2,6498.367550013631,449.9131893957689
0,3,2908.5443265366825,449.9131893957689
0,4,1107.7848272708243,449.9131893957689
1,1,11425.212791834869,449.9131893957689
1,2,8701.266781579281,449.9131893957689
1,3,2691.782628854973,449.9131893957689
1,4,1173.0862379932819,449.9131893957689
2,1,11575.113642120148,449.9131893957689
2,2,8310.432965165766,449.9131893957689
2,3,1794.716682154228,449.9131893957689
2,4,1108.5645456078087,449.9131893957689
3,1,14910.943617324376,449.9131893957689
3,2,8568.129875539165,449.9131893957689
3,3,2073.855846794703,449.9131893957689
3,4,1105.8355314283629,449.9131893957689
