Run,Linear Slope,Linear Slope Error,Linear Y-Int,Linear Y-Int Error,Taylor Constant,Taylor Contstant Error,Taylor Fitted Point,Taylor Fitted Point Error
285,-264950.5984225832,24307.46782111675,74633844.07595119,3483343.685004011,877351959299.9471,38330900702.59565,187.79310688492026,8.470666324260893
289,-266558.58343680034,21527.139323841475,74848517.00561234,3084913.0435627466,874300024056.4335,33283621074.501007,187.19716884629023,7.408413859649828
290,-269785.8741654714,22840.00072916784,75322622.62820873,3273050.6081389375,869829456285.6035,34070275800.584057,186.12939451835925,7.6758387109141415
296,-394857.56851396716,16748.361934504515,90929493.16559568,2400097.8437348697,714380521620.2712,4339415364.692838,153.52285712469427,2.463596328205239
298,-548181.672938481,25357.7627473241,106489556.77468924,3633854.5364534273,595344384913.4049,6077431171.407676,129.506405021529,1.577688483268722
300,-540427.3229591658,45377.75370014926,101572597.49589007,6502788.048237763,531558793744.6097,13088984911.996515,125.2991145051263,2.5116952582679275
302,-474933.69129501644,70303.7784681368,86597307.63732286,10074773.04622237,426523967972.8967,22898700491.105217,121.5570495024723,3.8764715450454665
