Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,84103.67620790098,3187.4264828602227
0,2,56834.65384687263,3187.4264828602227
0,3,24645.75298165253,3187.4264828602227
0,4,8244.965883084022,3187.4264828602227
1,1,90816.5226326819,3187.4264828602227
1,2,74545.57099176693,3187.4264828602227
1,3,20937.046964694942,3187.4264828602227
1,4,8644.197921834562,3187.4264828602227
2,1,99139.33745493674,3187.4264828602227
2,2,70994.6998828537,3187.4264828602227
2,3,14307.849988277958,3187.4264828602227
2,4,8076.925567887841,3187.4264828602227
3,1,120957.75652702844,3187.4264828602227
3,2,71389.70147504986,3187.4264828602227
3,3,15531.36491236663,3187.4264828602227
3,4,8476.986250808828,3187.4264828602227
