Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,203166.07671780873,5377.603803034416
0,2,170994.15045372758,5377.603803034416
0,3,79906.83489600071,5377.603803034416
0,4,24756.90710461016,5377.603803034416
1,1,254963.5307652108,5377.603803034416
1,2,220138.15172944084,5377.603803034416
1,3,66515.95740238154,5377.603803034416
1,4,26095.069679155797,5377.603803034416
2,1,283369.7385340322,5377.603803034416
2,2,216287.88253569344,5377.603803034416
2,3,45265.462851468445,5377.603803034416
2,4,24630.46654638537,5377.603803034416
3,1,342364.28167307074,5377.603803034416
3,2,217830.86853484303,5377.603803034416
3,3,46881.69185690681,5377.603803034416
3,4,26336.129117397362,5377.603803034416
