Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,40219.02037770711,1076.1027422223206
0,2,27377.026074700494,1076.1027422223206
0,3,12697.591510177012,1076.1027422223206
0,4,4171.952078928823,1076.1027422223206
1,1,44448.58196978581,1076.1027422223206
1,2,37064.33101781939,1076.1027422223206
1,3,11371.81468782016,1076.1027422223206
1,4,4427.783798508833,1076.1027422223206
2,1,47528.985378506586,1076.1027422223206
2,2,34997.02121863545,1076.1027422223206
2,3,7560.111571055484,1076.1027422223206
2,4,4098.424147671753,1076.1027422223206
3,1,60544.56624087268,1076.1027422223206
3,2,36409.59132067203,1076.1027422223206
3,3,8026.2938156235,1076.1027422223206
3,4,4406.369736055099,1076.1027422223206
