Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,416928.5328765493,12502.829489049022
0,2,361552.9355803804,12502.829489049022
0,3,166885.1589608336,12502.829489049022
0,4,62209.41153148105,12502.829489049022
1,1,511697.40506269684,12502.829489049022
1,2,446280.24327505426,12502.829489049022
1,3,141504.93125922375,12502.829489049022
1,4,65787.55722038209,12502.829489049022
2,1,585949.4784885036,12502.829489049022
2,2,451536.6391989098,12502.829489049022
2,3,109224.65477438927,12502.829489049022
2,4,67099.11227667058,12502.829489049022
3,1,680199.390040868,12502.829489049022
3,2,441752.9824163464,12502.829489049022
3,3,119144.66591955452,12502.829489049022
3,4,72624.51667165662,12502.829489049022
