Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,85035.88415449466,2973.058903357141
0,2,56941.43247462598,2973.058903357141
0,3,24448.01445579142,2973.058903357141
0,4,8313.134794882491,2973.058903357141
1,1,90668.03391974837,2973.058903357141
1,2,74760.57983917433,2973.058903357141
1,3,20822.86012246185,2973.058903357141
1,4,8894.741579208858,2973.058903357141
2,1,98428.37858768857,2973.058903357141
2,2,70624.25943956828,2973.058903357141
2,3,14292.96789040385,2973.058903357141
2,4,8029.488481023843,2973.058903357141
3,1,121258.32831415751,2973.058903357141
3,2,71633.12496425875,2973.058903357141
3,3,15556.192211154152,2973.058903357141
3,4,8492.720957076528,2973.058903357141
