Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,192386.57275212443,4520.6301925606485
0,2,162203.53322135087,4520.6301925606485
0,3,75584.93498188975,4520.6301925606485
0,4,23118.796801545985,4520.6301925606485
1,1,240563.63877486446,4520.6301925606485
1,2,208002.44357207202,4520.6301925606485
1,3,63851.79703330798,4520.6301925606485
1,4,24568.593229424456,4520.6301925606485
2,1,266988.2220248641,4520.6301925606485
2,2,206392.38424894013,4520.6301925606485
2,3,43040.20314924603,4520.6301925606485
2,4,23238.411198821457,4520.6301925606485
3,1,322839.84102066484,4520.6301925606485
3,2,206964.81417207693,4520.6301925606485
3,3,44497.284254181475,4520.6301925606485
3,4,24833.755474298225,4520.6301925606485
