Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,510386.0218274457,11617.444496125467
0,2,455557.30750332755,11617.444496125467
0,3,201510.20503064312,11617.444496125467
0,4,63891.08208001226,11617.444496125467
1,1,624269.8345182211,11617.444496125467
1,2,556182.7615416506,11617.444496125467
1,3,158974.0420172652,11617.444496125467
1,4,65116.707401080566,11617.444496125467
2,1,715131.4469914117,11617.444496125467
2,2,559312.0398518404,11617.444496125467
2,3,113843.5200629607,11617.444496125467
2,4,64941.81655535069,11617.444496125467
3,1,817922.4560996515,11617.444496125467
3,2,531188.4803377079,11617.444496125467
3,3,116527.84271599058,11617.444496125467
3,4,66210.86065639167,11617.444496125467
