Chamber,Eta,Average Strip Rate,Uncertainty in the Mean
0,1,507658.94985839,11351.436168898785
0,2,453463.2938223969,11351.436168898785
0,3,200811.15162563702,11351.436168898785
0,4,64734.69580159038,11351.436168898785
1,1,619898.3080516871,11351.436168898785
1,2,553821.4263029372,11351.436168898785
1,3,159690.90840227692,11351.436168898785
1,4,65660.58267754912,11351.436168898785
2,1,707530.3658727441,11351.436168898785
2,2,553708.2014778693,11351.436168898785
2,3,114154.51654150587,11351.436168898785
2,4,65255.393031388674,11351.436168898785
3,1,810275.6550818001,11351.436168898785
3,2,527235.811262054,11351.436168898785
3,3,116253.20867873609,11351.436168898785
3,4,66848.2258695251,11351.436168898785
